text,immoral
와 1티어,0
챔프이름 왜 부적절한 단어로 취급받음?,0
스킬 연계가 존나 답답함특히 q,1
거석상이니까 못넘지,0
솔직히 E 대쉬 벽 넘어줘야하는거 아닌가.... 인간들도 넘어다니는데 거석상이란 놈이 벽도 못넘음..,0
W플 다시 가능하게 해줬으면....,0
애 할바엔 쉔하지 궁 사거리도 쉔이 압도하고 그냥 보호막 주면 될것을 마법보호막을 준다고 하네.,0
트페유저 개빡치는 말 1위 트페 딜량봐라 ㅉㅉ,0
도우파 군대갔을때 이새끼부터 생각났으면 개추,0
솔직히 얘 지금 개좋음곧 q딜 버프도 먹는다던데 꿀빨사람은 미리 연습하셈,0
똥챔 잘하는사람 보면 그냥 지린다 이런 느낌인데트페 잘하는사람은 진짜 존나 멋있음,0
2코 제발 존야 올리셈; 라인전 아무리 잘해도 브실골은 존야가 정신건강상 편함,0
요즘 포식자 트페 어떤가요,0
저티어에서 얘 하면 안됨얘 카운터가 저티어 단골챔들이라 ㅋㅋㅋㅋㅋ,0
"하아... 안 되겠네 2코어 고연포",0
그동안...빌어먹게 신세졌습니다!,0
정상길 그립다,0
그거 아시나요? 트페는 갱호응이 좋습니다 그러니까 갱좀 오세요 씨1발,1
제발 공속만이라도 돌려줘 너무 약하다 ㅜㅠ,0
Q졸라 날려,1
백도어좀 하자 10새야,1
고연포 가는 ap는 이새끼가 유일할거다...바드 : ?,0
상대랑 동성장 하면 존나약함어떻게든 초반에 터뜨려야함,0
정복자선혈로 브루저 느낌으로 해보면 딜 ㅈ도 안 나오고 체급도 ㅈㄴ 떨어짐칼날비월식으로 암살자처럼 해보면 딜은 나오는데 암살이 안됨걍 좆병신임,1
바위에 지 머리를 박아야 하는데 계란인 경우,0
진짜 깡 공격력 너프가 얼마나 큰 너프인지 잘보여주는 예시다 ㅋㅋㅋ,0
초반 챔인데 체급이 병신임,1
쎄긴 쎔꽤 많이 아픔근데 안죽음,0
승률 44퍼면 버프가 아니라 재활/소생을 해야 함.,0
데마시아인에게 후퇴란 없다!(진짜 없으며),0
짜오 문제가 %ㅣ발 패시브 피흡이 아닌데 그거 하나 약간 좋아졌다고 자위하는 꼬라지가 그냥 얼척이 없다,1
걍 깡스펙이 팔다리 떨어진 급이라 못쓰는 건데 패시브 회복 바꿔주면 뭐가 달라지긴 함?,0
짜오는 미운털백혓나보네ㅋㅋ난입들어도 리신은 이길수잇게 버프해줘야지,0
제발 공속을 올리든 공격력을 올리든 정글링속도좀 높여줬으면근데 얜 진짜 월식가면 답안나옴 월식으로 승률 바닥치고 접었었는데 선혈죽무가니까 고승률찍음,0
딴챔들 팁들은 전부 약코가 많은데짜오 팁은 먼 아직 쓸만하단 자기위로들만 많냐?,0
이젠 5티어에 꼴지앞이네 ㅋㅋㅋㅋㅋ,0
야 그래도~ 조정 당했다고 픽률 올라서 3티어 맛보네~,0
짜오좀 하지마라,0
"렉사이는 스킬셋이 사기라 체급너프해도 버티는데 얘는 그렇지도 않아서 아직은 회생불가임,,",0
패시브가 없어짐 ㅅㅂ,1
이새끼 궁이 그웬 w 하위호환수준인게 존나어이없음,1
안그래도 무색무취 딜 안나오는 챔한테저런 조정 아닌 너프 주면? 머 체력템만 가고 선혈만 무조건 가라고 억제하는거잖여?,0
조정 당한거 오히려 쓰레기 아니냐,1
"정보: 신 짜오는 스웨인, 다리우스와 비슷한 나이대이다",0
대장군 짜오 귀환모션 만들어줘,0
정글 짜오는 이제 보이지도 않고 서폿 칼날비 짜오 이딴거만 보이는거 가슴 아프네,0
챔피언이 짜장면과 같아서 면불기전에 빨리 끝내야됨,0
"브루저라면 다들 하나쯤은 가지고있는 방관, 방깎, 퍼뎀, 고정딜, 공뻥 등 후반 강화해주는 핵심적인 딜스킬이 하나도 없어서 브루저트리 타면 진짜 딜 ㅈ같이 안나옴 ㅋㅋ",1
얜 궁 5초 너프 이후로 평생 자르반 하위호환이네,0
지금 탑이 ㄹㅇ 더 좋은듯,0
미드 월정징 극딜짜오 재밌게 하고 있었는데 갑자기 회복량 너프먹었네,0
이번 선혈 체력 100 버프에 쇼진 체력 버프까지 있으니까 선혈 쇼진 블클 빌드로 가면 버프에 가까운거 같은데? 월식 말고 선혈 쪽으로 갈아타보는게 나을듯,0
아 짜장면 먹고싶다,0
정복자선혈로 브루저 느낌으로 해보면 딜 ㅈ도 안 나오고체급도 ㅈㄴ 떨어짐칼날비월식으로 암살자처럼 해보면 딜은 나오는데 암살이 안됨걍 좆병신임,1
그러니깐 시즌8 9때처럼 난입으로 돌아가야 됨. 삼조격만 띄우고 빨리 빠져야 됨. 서폿처럼 해야 함.,0
야 이젠 케인 상대 승률이 50% 이하네,0
대장군 신짜오 귀환모션 리메이크 기원 1일차,0
정보: 신짜오 w에는 치명타확률 계수가 있다,0
대장군 신짜오 리메이크좀 해줘라 ㅅ발,1
이 얼 싼.,0
탑으로 쓸거면 히드라->트포 이거 진짜 맛있더라흡혈은 흡혈대로 되고 탱탱함 야요같은애들 빼면좋은듯,0
눈물난다 개사기 11시즌 선혈죽무의 피해자일 뿐인데 왜 버프안해,0
브루저 가면 전구간 버프고 극딜가면 13렙까진 버프긴함,0
짜오는 과연 어디까지 올라올지?,0
조정확정  나이따ㅏㅏㅏㅏㅏ,0
"ㅈㄴ잘커도 원딜 잘크면 답이없음 결론은 지금 우르곳은 라인전,사이드,한타 어디서도 특출난 장점이 없음",1
육각형 챔프인데 완성형이 아니라 조립형 육각형 챔프라고 보면될거 같다.,0
대체 북미는 뭔짓을 해야 얘가 1티어를 먹는거지? ㅋㅋㅋ궁쓰고 처형하면 유저가 끌려가나,0
산소마스크 숨소리 듣고 쌌다,0
아레나에서라도 행복하렴,0
이새끼 신화템 가는거 보면 걍 존나웃김,1
다른애들은 신화템 고르는 기준이 챔이랑 잘맞으니까 가는건데이새끼는 잘맞는 신화템이 없어서 일단 좋아보이는거로 삼,1
우르곳이 티어 3개이상 차이나도 이기는거 힘든챔 TOP2올라프 문도,0
SATAM우르곳 10만점 유저로써 공감 존나 잘되네,1
아니 우르곳 진짜 개꿀챔ㅍ..(전우협에 의해 삭제된 댓글입니다.),0
갑자기 끌려가서 처형 당하면 기분 개같음,1
걍 q에 방깎 넣어서 유통기한을 없애야 살아날듯,0
우르곳으로 온힛 아이템 왜 안가여?w 온힛효과 반토막인것도 있고 11렙이나 13렙부터는 패시브가 메인딜임,0
대체 북미는 뭔짓을 해야 얘가 1티어를 먹는거지? ㅋㅋㅋ궁쓰고 처형하면 유저가 끌려가나우리도 이제 북미화 다됐노..,0
온힛은 구린 거 알겠는데 w평캔 자주 할거면 주문검은 왜 안 감원거리패널티때문인가,0
얘가 브라이어임?,0
우르곳이 근접챔이 된다면...집공 대신 정복자도 들고...거드라 딜 늘어나고...얼건 둔화 늘어나고...죽무를 가도 되고...심심하면 신파나 몰왕도 가고...,0
이새끼 그냥 개사기인데 왜안함?결투의대가뜨면 공격력 무한중첩인데 ㅋㅋ,1
롤체에서는 우르GOAT님이시다,0
딸피로 적 놓쳐서 ㄲㅃ칠때 어디선가 날아와서 궁맞추고 갈갈갈 하는거보면 존나 재밌음,0
‘밥 드세요’‘아니 아레나에서 진ㅉ’‘먹으라고’,0
"옆동네에서 메카 우르곳이라는 신규 skin 떴는데 skin 설명 재밌음 읽어봐.대게 우르곳에서 수집한 데이터를 역설계하여 만든 무적의 살상 병기, 메카 유닛 UR-907은 도시 전체를 손쉽게 초토화할 수 있습니다. 아무리 피에 굶주린 장군이더라도 배치했을 시 그 윤리에 의문을 품을 정도로 엄청난 파괴력을 가진 병기였죠.",0
딜도 개같이 나오는데 체력은 사이온급의 체력인거 보고 소름돋음그거 다 패시브 퍼뎀임,0
2티어다 2티어,0
정보:북미는 탐켄치와 워윅 우르곳 같은 맞딜쎈 놈들이 패황이다,0
아 ㅋㅋ 솔까 쓰레기 아님 ㅋㅋ 개쎈듯~2023,0
"""신화삭제"" 우르곳은 웃고있다",0
문도122 / 취향따라 결정 미해분 쾌접미해분 드는게 이해 안갈수 있는데 생각보다 선 6렙 타이밍 잡고 rfe 또는 ref 콤보로 킬각 잘나옴.쾌접은 문도가 cc면역이 있긴한데 그게 슬로우 면역은 아니라 qr맞추고 쫒아가는 경우가 자주 나옴.템은 무조건 첫템 수확의낫 귀환시 왠만하면 치감칼후 거드라 블클 몰왕,0
올라프룬 결의 1111에 깨달음 폭결 적응2개 체력1렙싸움 해도되는데 올라프 q 방향 반대로 무빙치는게 기본.e는 집공 터트린 후 올라프가 체력이 적어 패시브 활용이 좋은타이밍에 사용하는것이 좋음.1렙 이득 못보면 귀환 후 첫템을 수확의 낫 사는것을 추천.시작템 수확의 낫이면 강심 하위템.이후 강심 거드라 바미 뜨면 할만함.바미 대신 닌탑도 좋음.,0
q - 부식성 폭약에 부식이 없음w - 원래 w키면 미니언 통과된다는 말 적혀있었는데 사라짐e - 잘맞는날은 안닿겠다 싶은날은 귀신같이 거리 늘어남     잘 안맞는 날은 ㄹㅇ 닿았다 싶을때 자리에 멈춤     가끔 이래서 맞았다 하고 뒤로 궁쓰면 뻘궁됨r - 끌어와지는 저지불가 안끌어와지는 저지불가    우르곳좀 해봤으면 대충 앎    대신 끌어와지던 애도 안끌어와질때 가끔 있음,0
우르곳은 아레나라는 행복한 꿈을 꾸었습니다,0
..??,0
갱플할때 얘만나면 ㅈ같음,0
"장점애들이 얘 상대법을 몰라서 쳐맞고 터지는 경우가 종종 있음.얘 상대로 라인전 이겼는데 13레벨에 패시브 개쳐맞고 역전당함.단점걍 존내 애매함. 얘 할빠에 1, 2 티어에 좋은애 많음 ㅋㅋ그래도 나는 오늘도 우르곳을 픽한다.",1
우르곳으로 온힛 아이템 왜 안가여?,0
얘 솔직히 지금궁말고 옛날궁 돌려줘도 괜찮을거같음타겟팅제압 위치바꾸기 광역공포는 옛날 원딜가던 시절 말고 지금 얘한테는 진짜 괜찮아서,0
딜도 개같이 나오는데 체력은 사이온급의 체력인거 보고 소름돋음,0
이새끼로 요릭 어떻게 이기냐,0
초반에 못이기면 넌 걍 걸어다니는 176원임,0
적 미드가 사일인데 아군이 개발리면 스왑하세요. 방어력위주로 올려도 사일 잡음 ㅋㅋ,0
빡빡이에 마스크 쓴게 베인 닮은듯,0
얘도약간 럼블과라 점화들고 궁박고 패기시작하면 다이길수있음,0
요네E 짜증나는 스킬제드W ㅈ같은 스킬르블랑W 엄마뒤진 스킬,1
그러니깐 메이지가 첫템으로 치명타AD템을가도 라인전이 수월해지고 딜교도 더 좋아진다고?,0
스태틱 ap계수 삭제해도 르블랑은 스태틱 갈 거임이미 르블랑은 스킬에 ap계수 좀 많은 평타 딜러임,0
노리스크 하이리턴 @l-l미 팔아먹은 챔 ㅋㅋㅋㅋㅋ 일반 스킬에 재자리로 복귀되는 점멸을 쳐붙여놨네,1
얘 카운트 들어가서 라인 킬 확률 보면 진짜...ㅋㅋ,0
이새낀 그냥 스태틱임,0
르블랑 서폿으로 잘하는 새ㄲ는 물론이고 인성이 사람만한 ㅅ끼를 단 한 번도 본 적이 없음. 트롤픽하고 라인전 왜 지냐며 원딜한테 뭐라하는 가족 인원수 일의 자리 홀수 중에 소수가 아닌 수인 ㄴ들 밖에 없음.,1
삭제좀 ㅋ,0
삭제하라고,0
이새기 w스킬은 희대의 엄마뒤진스킬,1
스태틱 ap계수 반토막 날거라는데 솔직히 그래도 쓸거같음,0
미드 ap챔이 마나관련 템을 단 하나도 안가도 유지력이 좆된다는것부터가 존나석나가네ㅋㅋ,1
이쯤되면 걍 스태틱 미니언 추가데미지 없애야할듯 ㅋㅋ 지겹도록 보이네 ㄹㅇ,0
확실하지 이 씨발년아 그럼 너 밴하는 게 안 확실하노?,1
걍 사거리 너프하면 모든게 끝날 일임이속도 좀 깎고 ㅇㅇw라는 최상급 이동기가 있는데 왜 기본 이속이 340씩이나 있어야됨 얘한테 ㅋㅋ,0
개씹ㅈ날먹.,1
진짜 씨발 스태틱이 만악의 근원임정작 쓰라고 만들어준 요네 야스오같은 AD캐리나 원딜들은 잘 가지도 않는데 이런개씹좆날먹챔이 1코어로 올려서 W평평평W 딸깍콤보 시전하고 고질병이던 라인클리어도 해결하고,1
라클 너프먹이니까 미해분3개 원거리에 다박아서 한번에 다죽이고 밤수 올려서 스태틱으로 밤수 쳐 터트리고 다니고 씨발임ㄹㅇ,1
아니 스테틱에 ap계수를 삭제하면 되잖아 ㅋㅋㅋㅋㅋㅋ 왜 안 하는 거지? 이해가 안 되네 ㄹㅇ,0
얘 스태틱 있기 전에 라클이 진짜 너무 구데기여서 q버프로 막타시 쿨줄고 마나회복이 생겨서 할만 해졌는데 스태틱까지 있으니까 걍 ap탈론이 돼버림,0
어떤 벌레가 ad가면 트포 빌드가 뜨냐,0
르블랑 서폿 왜 3티어임?,0
통계에 트포 뜬다 오,0
통계에 트포는 뭐냐 ㅅㅂ..,1
이색기 픽률보면 그냥 패치초반 카시같운 느낌인거 같은데,0
이새끼 왜 서폿 1티어임? 얼마나 좆사기면,1
미드는 밴카드 두개씩 줫음 좋겠음. 그냥 내가 뭔챔을하건 제드 르블랑 고정벤하게,0
쿨짧은 원거리 cc기+쿨짧은 씹사기 이동기  이 두개가 한챔프한테 있으면 안됐다,0
w돌아가기 삭제하고 e기절 삭제해라그래야 아무도 안하지 ㅆ발년e가 언제부터 기절이였음?,0
배댓 라이즈 약코는 ㅋㅋㅋㅋㅋㅋㅋ 이미 약한거 다 알고있는데,0
이제 실력이 필요하긴 함?누가 해도 날먹인데 걍 ㅋㅋ,0
롤한지 얼마 안됐을때 나무정령 르블랑 나왔었는데 너무 예뻐서 반해버림 이때부터 예쁜챔만함 닭장이라고? 잘익은거야,0
블라디랑 유지력 맞먹네,0
진짜 이런 개적폐챔들고  제드한테 개발린 담에 겜끝날 때까지 원딜 한 번도 못 자르고 팀탓하던 우리 르블랑... 죽여버리고 싶다,1
이새끼 상대로 라인전 이길려면 도대체 뭘해야함?,0
서폿 르블랑 하면 던짐,0
라인킬 확률 미친놈이네 ㅋㅋㅋ 전부 다이겨,0
얘 뭔데 서폿 2티어내,0
서폿 그만쳐가라,0
스태틱르블랑 효율도안나오는게 스플릿쳐하는 새로운 패작챔 탄생,0
드디어 스태틱 너프 이좆가튼련!!!,1
서폿 1티어 1등ㅋㅋ. 벌써부터 충이 늘겠네,0
통계튄거겠지,0
서포터 1티어 1등 실화임?,0
이새끼 왜 서폿에 있냐,1
잘가라 ㅋㅋㅋㅋㅋㅋ 스태틱너프 개꿀,0
키아나유저로써 르블랑만큼 ㅇㅁ뒤진새끼 없음,1
이새끼 나오면 걍 아크샨 고르고 행복라인전 하면 됨W로 갖다박는 순간 뼈방패+패시브 보호막+보호막강타 이용해서Q평평+평만 쳐도 르블랑쪽에서 와 날먹챔새끼 소리 먼저나옴,0
루덴을1코어로 간 시점부턴 상대한테Q만쏴도 쿨 개빨리돌아서 근접들은 Q만쏴도 딜교성립ㅋㅋ,0
존나 짜증나는년 진짜 성능과는 별개로 챔프 스킬 자체가 사람스트레스 받게하기 딱좋음,1
르블랑 상대해야돼서 카운터 들어갔는데...왜 이썅년 라인전에서 이기는 챔이없냐? ㄹㅇ 스태틱 삭제만해도 5티어가겠노..라인킬확률이 평균 60퍼 ㅋㅋㅋㅋㅋ진짜 너프 왜 안하냐 ?,1
ap챔프가 ap계수 1도없는 치명타템가고 룬은 기발로 버티면서 스펠은 텔을 들었는데도 중반부터 암살이 가능하다는게 존나 불합리한거라고,1
얜 스태틱만 없어진다면 알아서 3~4티어로 내려감 스태틱 나오기 전에도 계속 4티어였던거 같은데,0
왜 마법사가 돌진해서 챔피언을 암살하냐고 챔피언 진짜 잘못 만들었다 진짜,0
도대체 스태틱에 ap계수를 왜 달아준거냐??? 그냥 레벨 비례로 해주면 안되냐??,0
아직도 사기라서 또 너프 먹을 예정이라는 게 레전드,0
13.17 스태틱 너프만 기다린다,0
평 딸깍으로 라인 지워지는게 진짜 개줫같네 진짜,1
이제 미해분 3개 갈아넣고 스태틱 갈겨도 원거리 원콤 안되서 쓰레기 됐음,0
ㅋㅋㅋㅋㅋㅋ밤수너프?알빠노 ㅋㅋㅋㅋㅋ,0
르블랑 이제 말자하 이기죠? 몇일전에 상대로 르블랑 나왔는데 스테틱 뜨니까 못이기겠던데,0
어차피 제드는 상대팀이 벤해주니까 난 얘 벤해야겠다,0
스태틱 ap계수 삭제해도 르블랑은 스태틱 갈 거임이미 르블랑은 스킬에 ap계수 좀 많은 평타 딜러임그게 ㅈ모임,0
에코 궁을 두번 돌리는 새끼폭갈 헤드샷 케이틀린 평타가 기본인 새끼메이지인척하는 칼챔이 된 새끼아군으로 봐도 토악질나오는 플레이를 하는 새끼뭘해도 맞으면 멈춰당하는 빨대계열 cc기를 가진 새끼,1
얘 유저들 인성 ㅈㄴ안좋음,1
w돌아가기 삭제하고 e기절 삭제해라그래야 아무도 안하지 ㅆ발년,1
스태틱 르블랑 공략 좀 쳐 내리세요 이거 지금 템 너프 먹고 라인 클리어 로밍 운영 방식으로 한다 해도 이제는 라인 클리어 아예 안돼서 르블랑한테 아무 의미없는 아이템인데 왜 자꾸 공략으로 쳐 올라와있는지 모르겠네,0
그냥 예전 처럼 감전 AP가 딜이며 라인클리어며 티어 훨씬 높게 나오겠네요,0
프로들도 잘만쓰는데 일개옵지인이 뭐라노,0
얘들고 미드벨코즈한테 지는건 뭔데??,0
최강날먹 르블랑 ㅋㅋ,0
내가 하다하다 스테틱에 리치베인 들고 백도하는 르블랑까지 보는 날이 올 줄이야,0
시발년,1
탑 착취 르블랑 하는 씹새끼들도 스태틱 쳐가네 씨발,1
미드에서 만나기 싫은 챔피언 1위,0
라인클리어도 좋은데 w로 거리 좁혀서 평큐만 맞춰도 빈사상태임평타딜이 1000씩 뜨는데 난 못 때림 이게 챔프냐?,0
뜨거운티모<<<이새끼 만나면 닷지하셈 르블랑들고 2렙 블라디한테 뒤지는 ㅂ신임,1
스태틱 밤수 안터져도 밤수가 루덴보다 좋음?,0
지금 르블랑 카운터는 ㄹㅇ개꿀잼임ㅋㅋ 없다 생각하시는분들 있지만 은근 많다는것! 진짜 나만 아는 하드카운터로 꿀빨고있따,0
얘가 브라이어보다 멋있음,0
이세계 와일드리프트에선 E가 미니언 관통이라네요~,0
유체화 의존도 거의 다리우스급,0
걍 이새끼 근접에서는 q로 걍 상대 물어뜯어서 피흡 2배 해주면 안되나? 흡혈을 걍 q로 코피만큼 빨아재끼니까 롯데리아 케챱도둑같음;;,1
"나만 e,r 가끔씩 안나감?",0
얘 일러는 개잘생겼는데 모델링이..ㅋㅋ모델링부터 바꿔줘,0
와일드 리프트 : 뱀파이어 백작리그 오브 레전드 : 모기,0
똥챔,0
장인랭킹에 선공블라디로 챌간분있는데 누구임해외유저 Elite500이라고 있는데 한섭 놀러옴 아무 룬이나 템 다가고 플레이 방식도 특이함 걍 개잘하는 사람임,0
하 근데 얜 외형 리메이크 언제쯤 해주냐 걷는포즈부터 해서 진짜 좋나 구려서 할맛이 안나네스@킨 사고 해야햠,1
이새끼가 흡혈소녀 브라이어임?,0
와리 블라디 E관통 되는데 브라이어 출시되면서 리워크 해줄지도..?,0
뱀파이어라는 놈이 늑대랑 사슬모기보다 피흡을 못 함,0
Q쿨 상대한테 보이고 스킬 절반이 지 피 깎아서 쓰는 개똥챔주문매듭 때가 그리움.,0
"챔 자체는 진짜 매력있는데,성능이 꾸져서....이번 버프 목록에도 없다지?",0
컨셉 멋있고 잘생기고 오래됀챔이지만 스킬셋 구성도 좋은챔,0
미드 블라디 씹 고혈챔 나오면 ㄹㅇ 어지러움,1
그 흔한 체력퍼뎀도 없고 팔짧고 돌진기 없는 인파이팅형 메이지라는 컨셉이 지금메타엔 물음표라고 생각,0
"잘 크면 한 게임 안에서 배틀메이지, 누커, 숟가락, 브루저, 이니시에이터의 역할을 모두 수행할 수 있는데 성장이 말리면 이 중 아무것도 못하는 폐기물덩어리가 될 수도 있음.",0
미드 블라디 하세요 진짜 꿀챔임 이걸로 연승많이함,0
더 정확히 말하자면 블라디는 과거 다르킨들한테 잡혀갔었는데 다르킨들이 쓰는 혈마법을 전수받음 즉 뱀파이어가 아니라 다르킨이 사용하는 힘을 사용하는 마법사임,0
"블서운 이야기쿨감이 스킬가속으로 대체되고, 벨트가 2500원에서 3200원으로 인상되었으며, 주문매듭구슬이 아예 삭제된 지금은 상상하기 힘들겠지만,블라디미르는 불과 3년전만해도 미드, 탑 두 라인 1티어 챔프였으며, 4년 전에는 밴률 1위, 탑 유일 OP 챔프로 군림했던 시절이 있다.",0
이 븅신으로 유체화 안들고 점화 점멸 쓰면 답답해서 게임 어캐함? 사거리 개짧고 ㅈㄴ 굼떠서 답답해 죽겠던데 난입들어도,1
플밑구간에선 아직 통할지도…,0
유체화블라디 너무 맛있다,0
그냥 뭔가 안쓰러움,0
예전에 감전블라디 새루 / 난입블라디 핏계 / 정복자블라디 엘리트500 이때가 낭만 넘첬는데...,0
엘리트500이요,0
장인랭킹에 선공블라디로 챌간분있는데 누구임,0
블라디 유저들 eqr 콤보할 때세 손가락 파지법 씀 네 손가락 파지법씀?,0
e관통이야 개씹사기니 안된다 치더라도 풀차징 e에 마관이나 퍼뎀이라도 달아주면 좋겠음,1
체력 8% 쓰면서 딜하는데 중반까진 마저올린 상대로는 내 피가 상대 체력보다 더 많이 빠질때도 많음.,0
